source,simpa_run_label,kind,commit_type,count,avg_ops,max_ops,avg_bytes,max_bytes,avg_commit_ms,max_commit_ms,duration_ms,traversed,pruned,config_lock_max_ms,config_batch_max_ms,config_batch_max_ops,config_batch_max_bytes,config_batch_max_blocks,config_batch_bodies,lock_hold_ms,lock_yields,lock_reacquires
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,summary,,,,,,,,,164,0,0,25,50,50000,4194304,15,0,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,commit,batched,1,1.00,1,48.00,48,0.010,0.010,,,,,,,,,,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,summary,,,,,,,,,66,0,0,25,50,50000,4194304,15,0,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,commit,batched,1,1.00,1,48.00,48,0.005,0.005,,,,,,,,,,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,summary,,,,,,,,,56,0,0,25,50,50000,4194304,15,0,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,commit,batched,1,1.00,1,48.00,48,0.005,0.005,,,,,,,,,,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,summary,,,,,,,,,53,0,0,25,50,50000,4194304,15,0,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,commit,batched,1,1.00,1,48.00,48,0.005,0.005,,,,,,,,,,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,summary,,,,,,,,,47,0,0,25,50,50000,4194304,15,0,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,commit,batched,1,1.00,1,48.00,48,0.005,0.005,,,,,,,,,,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,summary,,,,,,,,,66,0,0,25,50,50000,4194304,15,0,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,commit,batched,1,1.00,1,48.00,48,0.007,0.007,,,,,,,,,,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,summary,,,,,,,,,80,0,0,25,50,50000,4194304,15,0,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,commit,batched,1,1.00,1,48.00,48,0.007,0.007,,,,,,,,,,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,summary,,,,,,,,,65,0,0,25,50,50000,4194304,15,0,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,commit,batched,1,1.00,1,48.00,48,0.007,0.007,,,,,,,,,,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,summary,,,,,,,,,58,0,0,25,50,50000,4194304,15,0,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,commit,batched,1,1.00,1,48.00,48,0.005,0.005,,,,,,,,,,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,summary,,,,,,,,,58,0,0,25,50,50000,4194304,15,0,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,commit,batched,1,1.00,1,48.00,48,0.008,0.008,,,,,,,,,,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,summary,,,,,,,,,100,0,0,25,50,50000,4194304,15,0,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,commit,batched,1,1.00,1,48.00,48,0.015,0.015,,,,,,,,,,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,summary,,,,,,,,,63,0,0,25,50,50000,4194304,15,0,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/simpa-prune-reach-maxblocks15-10bps-fullblocks-20260114-042631.log,reach-maxblocks15-10bps-fullblocks,commit,batched,1,1.00,1,48.00,48,0.005,0.005,,,,,,,,,,,,
